"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"13628",122890,66,1,1,19,NA,3,3,NA,1,NA,NA,NA,NA,1,2,2,1,2,2,NA,NA,NA,NA,8714.534685,0,2,151,1.14
"13629",122891,66,2,2,2,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,4906.900935,5440.013159,1,161,1.22
"13630",122892,66,2,2,9,NA,5,6,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,4184.883387,5112.4319,1,162,1.22
"13631",122893,66,2,2,45,NA,4,4,1,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,4280.702865,4358.525342,1,150,2.58
"13632",122894,66,2,1,39,NA,4,4,1,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,16469.125104,17813.245591,1,161,4.77
"13633",122895,66,2,1,80,NA,3,3,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,NA,16209.416341,20067.888828,1,155,1.35
"13634",122896,66,2,1,74,NA,2,2,2,2,4,4,1,NA,1,2,2,1,2,2,1,2,2,NA,15356.779689,16442.506934,1,169,1.73
"13635",122897,66,2,2,9,NA,4,4,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,13099.124904,13550.47134,2,149,3.5
"13636",122898,66,2,1,75,NA,3,3,1,1,NA,5,1,NA,1,1,2,1,2,2,1,2,2,NA,41669.243978,44533.418056,2,165,5
"13637",122899,66,2,2,16,NA,5,7,1,1,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,2,2,1,7769.823956,9117.66571,1,161,NA
"13638",122900,66,2,2,29,NA,4,4,1,1,NA,4,3,3,1,2,2,1,2,2,NA,NA,NA,NA,10482.502882,11332.84813,1,150,1.06
"13639",122901,66,2,1,47,NA,3,3,2,1,NA,5,1,NA,1,2,2,1,2,2,1,2,2,1,30950.944519,31961.775942,2,168,5
"13640",122902,66,2,1,57,NA,4,4,1,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,4045.519983,4454.890872,2,156,1.84
"13641",122903,66,2,1,6,NA,5,6,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6124.900695,7312.52249,1,156,5
"13642",122904,66,2,1,6,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,11861.863878,13864.744912,2,159,2.72
"13643",122905,66,2,1,41,NA,3,3,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,11246.342135,11573.926613,2,166,0.41
"13644",122906,66,2,2,26,NA,3,3,1,1,NA,3,3,2,1,2,2,1,2,2,1,2,2,1,46920.818918,49792.012685,1,158,1.5
"13645",122907,66,2,1,15,NA,1,1,1,1,NA,NA,NA,NA,2,1,2,2,2,2,1,2,2,1,32686.647718,34235.922387,1,154,0.45
"13646",122908,66,2,1,9,NA,3,3,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,49895.034139,60342.857841,1,155,4.43
"13647",122909,66,2,2,64,NA,4,4,2,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,5270.450688,5804.794117,1,171,4.2
"13648",122910,66,2,1,17,NA,5,7,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,6270.583847,6702.320833,1,161,1.22
"13649",122911,66,2,2,27,NA,1,1,2,2,1,5,1,2,2,2,2,2,2,2,2,2,1,2,34355.320851,35712.986198,2,172,1.2
"13650",122912,66,2,1,41,NA,3,3,2,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,75066.325064,73647.710264,2,158,2.64
"13651",122913,66,2,1,27,NA,3,3,1,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,29754.332958,35258.37441,1,149,2.03
"13652",122914,66,2,1,36,NA,4,4,2,1,NA,4,3,NA,1,2,2,1,2,2,1,2,2,1,17951.667049,19744.709771,1,163,1.65
"13653",122915,66,2,2,60,NA,4,4,1,1,NA,5,2,NA,1,2,2,1,2,2,1,2,2,1,4783.669311,4947.43167,2,166,2.36
"13654",122916,66,2,1,18,NA,5,6,1,2,1,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,2407.529156,2458.524668,2,168,0.1
"13655",122917,66,2,1,5,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6564.41539,7430.229164,3,156,0.99
"13656",122918,66,2,1,8,NA,5,7,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,23699.370262,25933.16145,1,155,2.15
"13657",122919,66,2,1,24,NA,1,1,1,2,2,1,1,NA,2,2,2,2,2,2,2,2,2,2,19211.577156,21921.973459,2,161,0.48
